11,9,7,7,7
8,13,8,7,11
8,8,9,8,9
13,11,10,8,7
10,9,8,8,9
14,9,9,8,9
12,15,7,7,7
23,10,8,6,8
9,14,6,7,6
9,15,7,8,8
6,19,9,7,7
7,9,6,7,7
9,7,7,8,8
8,11,7,7,6
8,8,8,8,9
8,8,8,7,6
7,7,7,8,6
7,7,7,7,8
7,9,8,7,10
8,7,9,7,8
7,7,6,9,8
8,8,6,7,7
8,9,6,7,7
7,6,9,7,6
8,8,7,8,7
7,12,8,6,7
7,24,6,7,7
7,13,10,7,6
7,15,6,8,7
8,29,8,7,7
7,11,8,8,7
7,11,7,7,6
7,12,8,9,8
9,13,7,8,9
8,10,8,7,7
7,17,6,7,7
10,9,9,7,7
8,6,8,7,7
7,9,7,7,8
8,8,7,7,6
7,9,13,8,7
8,7,8,8,9
7,6,6,7,7
10,6,7,7,7
8,8,7,7,8
7,7,8,6,7
8,7,7,7,9
7,11,6,6,8
6,14,7,7,8
7,10,6,7,7
6,10,8,8,6
7,8,6,8,8
10,24,6,7,7
8,14,7,7,8
6,9,7,10,7
7,12,7,7,7
7,13,7,8,7
10,10,7,9,10
7,11,6,7,7
7,21,6,7,7
7,19,7,7,8
7,9,7,8,9
7,16,8,8,8
8,13,8,6,6
14,9,7,8,6
15,10,6,6,7
9,13,7,7,8
12,15,9,7,6
11,13,7,7,7
14,22,6,7,6
15,8,6,8,9
8,12,6,7,7
18,13,8,7,7
14,23,6,7,7
9,17,6,8,8
11,10,8,6,6
23,15,7,6,8
12,14,7,7,7
14,14,8,7,9
13,22,7,7,7
14,8,7,6,8
23,18,7,8,8
16,12,7,7,7
19,12,7,10,7
7,11,7,11,6
10,11,8,10,7
6,8,7,11,7
7,7,7,10,7
7,7,7,12,7
9,7,7,12,8
12,7,7,8,6
7,7,8,6,8
7,7,6,7,8
6,8,7,7,7
14,7,7,9,6
6,7,7,7,7
13,7,9,7,8
10,9,17,8,7
11,11,11,7,6
11,16,10,7,7
