7,8,9,8,10
8,8,9,8,11
10,7,9,8,10
10,9,7,18,14
7,7,7,11,10
8,7,7,10,11
8,10,7,9,14
14,11,7,24,10
12,9,7,9,23
16,11,8,12,15
8,10,7,11,18
21,8,9,10,8
12,11,8,8,9
11,8,8,11,8
9,18,8,15,10
13,11,7,8,13
9,14,7,9,11
9,8,8,16,17
10,11,7,15,9
10,12,7,10,13
10,12,9,10,14
11,10,11,13,7
10,9,10,13,15
16,25,9,11,14
9,10,9,10,8
13,21,7,10,9
8,13,7,9,16
11,10,7,11,11
11,12,8,26,7
9,16,7,10,14
22,12,8,9,12
11,11,8,12,9
15,10,7,9,9
16,8,7,11,9
9,14,7,12,10
15,12,8,16,15
12,15,7,10,10
16,16,7,9,15
13,15,7,14,11
12,10,7,11,21
12,27,8,10,11
13,15,7,9,10
9,9,7,10,12
13,8,7,9,14
8,13,7,11,12
9,13,8,13,13
9,16,9,12,10
8,15,8,11,10
13,7,7,12,10
10,10,7,21,15
17,10,9,14,10
17,15,8,11,14
13,10,7,12,8
13,10,7,9,11
19,12,7,12,16
13,14,8,9,11
14,17,7,12,14
13,8,7,15,9
15,10,7,11,12
14,9,8,34,21
9,13,7,13,17
15,7,7,11,9
21,7,7,12,14
10,8,10,12,11
12,8,10,11,18
19,8,7,12,15
14,7,12,9,14
12,8,7,10,11
15,8,8,8,12
9,7,10,12,9
22,7,7,16,7
9,7,7,9,7
12,8,7,11,12
8,8,7,16,11
18,7,7,12,17
11,7,7,14,14
9,7,7,11,15
20,9,7,14,17
8,7,7,14,13
32,7,7,10,9
14,7,7,10,9
10,9,7,7,16
9,7,7,11,18
12,7,7,13,8
10,7,7,8,9
11,7,7,32,11
9,7,8,11,9
10,7,7,10,8
11,7,8,10,10
14,7,7,11,13
14,8,9,10,20
15,7,7,10,20
19,7,7,11,15
12,7,7,13,9
9,8,9,11,16
14,9,7,13,10
25,9,7,13,16
30,7,9,11,8
16,7,7,21,9
11,7,8,17,12
