11,8,10,8,9
9,10,13,7,7
12,7,11,7,8
10,8,9,7,8
9,12,6,10,7
18,12,8,7,7
14,16,8,6,6
12,11,7,7,7
10,10,7,7,8
8,9,9,8,7
13,16,10,7,6
12,18,7,10,8
9,12,8,8,8
12,9,8,8,6
8,10,7,7,7
15,9,12,7,9
7,11,9,8,7
7,15,9,7,7
7,11,8,8,8
8,11,8,7,7
9,11,8,8,9
8,12,8,6,16
12,12,8,14,12
9,11,7,14,15
7,20,9,13,14
7,12,6,12,22
9,11,9,9,13
8,12,7,15,9
8,10,9,15,12
7,12,7,8,11
8,13,7,7,9
9,9,7,7,29
8,9,6,8,9
7,12,6,8,13
7,9,6,7,13
9,13,7,7,20
7,12,7,8,17
9,9,7,7,14
7,12,8,7,21
9,16,9,7,11
8,25,6,7,10
7,17,7,8,14
8,13,7,6,8
10,17,9,7,13
7,18,9,8,17
7,8,10,7,13
8,11,10,7,11
8,22,10,7,23
7,12,8,7,9
7,13,8,7,7
7,14,6,7,7
10,38,7,8,7
7,22,7,7,7
7,11,7,7,7
7,18,7,7,7
9,22,7,6,9
7,12,7,7,8
9,16,7,9,7
8,12,7,6,7
7,13,7,6,6
7,15,6,7,7
8,25,7,7,8
7,14,7,6,8
7,13,7,7,6
7,22,7,7,7
7,18,7,7,7
7,11,7,7,7
9,34,7,8,7
7,13,7,7,7
7,12,9,8,8
7,11,8,7,7
7,32,7,7,7
7,12,7,7,7
8,11,7,8,8
7,9,8,7,7
7,11,6,6,7
7,11,7,6,8
7,16,8,6,7
9,8,8,7,7
9,14,8,7,8
6,18,8,7,8
7,9,9,8,7
7,15,6,7,6
7,11,7,7,6
8,8,8,6,7
8,11,6,7,7
8,9,7,6,10
9,14,6,7,7
7,8,8,8,7
8,12,8,7,7
8,11,6,9,7
8,9,8,8,8
7,9,7,7,7
8,13,7,7,8
7,11,7,7,7
8,11,6,7,8
12,14,6,7,7
7,10,9,8,10
8,8,8,8,7
8,9,7,7,9
