7,8,14
10,8,7
8,9,7
10,8,12
8,6,9
12,7,7
7,17,10
7,6,6
7,6,10
7,6,10
7,6,10
19,6,7
10,22,7
10,10,11
12,10,11
12,10,11
22,10,9
9,6,9
9,11,9
14,6,9
11,6,9
6,11,9
6,12,6
11,10,7
6,10,7
6,10,6
10,10,6
10,11,7
10,6,7
10,8,7
10,8,7
11,8,11
10,6,11
10,8,7
11,13,12
16,13,7
9,13,10
9,12,7
9,7,7
9,7,7
8,7,10
7,7,9
7,11,9
7,11,9
8,9,12
7,9,12
8,10,10
7,10,10
11,9,10
11,9,12
6,9,9
6,11,8
11,11,8
10,9,8
10,20,9
12,6,9
10,20,10
10,6,9
13,7,10
13,6,9
13,7,9
13,6,9
6,7,9
8,7,9
6,7,7
8,10,7
8,10,7
8,10,7
8,10,6
9,10,9
9,15,10
9,16,9
9,16,10
9,14,9
21,10,10
10,10,10
21,20,10
24,8,10
24,8,10
6,8,19
6,6,19
6,6,7
13,8,14
13,8,7
6,10,7
19,10,14
19,10,14
9,10,8
13,10,8
7,14,8
7,9,8
7,14,7
7,9,7
7,24,8
7,10,7
10,14,12
10,11,12
26,9,7
6,9,15
7,9,20
