6,6,8,7,8
6,6,7,7,9
6,6,6,9,11
6,6,6,8,14
6,6,6,10,8
6,6,7,10,13
6,6,7,9,9
7,7,7,11,10
7,6,6,8,11
7,6,6,10,10
6,7,6,10,8
6,7,6,10,11
7,7,6,10,11
7,6,6,11,11
7,11,7,12,9
6,10,6,13,11
7,7,7,12,11
6,11,6,13,12
6,10,9,8,11
7,10,10,13,12
8,11,10,13,14
10,11,9,12,14
10,8,10,13,14
10,10,8,13,14
10,8,9,13,13
10,8,10,12,13
10,10,9,13,12
10,10,10,12,14
10,12,10,15,14
10,12,10,13,14
9,12,10,15,13
9,12,10,15,13
9,8,9,16,13
7,11,10,15,14
6,11,10,15,13
10,12,10,15,13
10,12,10,15,14
10,12,10,16,13
10,12,10,13,14
10,12,10,15,14
10,12,9,14,13
10,11,9,13,14
10,15,10,16,11
10,12,10,13,11
10,11,9,13,13
8,12,10,12,14
10,12,9,15,14
7,10,9,12,18
10,11,11,15,18
6,10,10,13,18
40,16,11,12,18
40,12,10,10,18
40,12,13,15,18
39,10,15,11,20
40,10,15,13,20
40,9,15,19,20
40,10,15,10,19
39,8,16,11,20
39,10,15,10,20
39,9,15,11,19
39,10,15,11,18
39,10,15,11,20
39,10,16,11,17
39,10,13,10,20
40,7,15,19,19
39,7,15,15,13
39,6,15,20,14
39,8,15,12,13
39,10,13,20,18
39,34,16,15,15
39,34,15,30,20
39,34,13,39,18
39,35,15,39,20
39,34,12,39,19
40,36,13,40,13
39,36,11,40,17
39,36,15,40,14
40,36,12,40,12
39,36,13,40,14
39,36,10,40,13
41,36,16,40,14
42,35,23,40,14
43,36,11,40,13
43,34,23,40,15
43,36,13,40,26
43,35,29,40,14
43,36,13,40,40
43,34,27,40,40
43,36,23,40,40
42,35,32,40,40
42,31,32,40,40
42,32,32,40,40
43,32,32,40,39
43,32,32,40,39
43,32,32,40,39
43,31,32,39,39
42,32,32,40,39
43,31,32,40,39
42,32,32,41,39
43,31,32,41,40
43,32,32,42,39
43,32,31,43,39
41,36,31,42,38
41,35,31,42,38
42,36,31,42,38
41,34,32,42,38
40,36,32,42,38
43,35,31,42,39
42,32,31,42,38
41,40,32,42,39
41,39,34,42,38
43,40,34,42,39
41,37,34,43,38
39,39,33,42,40
43,40,34,42,39
39,38,34,42,61
41,40,34,45,61
43,38,33,45,61
39,41,34,45,61
41,41,31,45,61
40,36,33,45,61
40,36,32,44,61
42,35,31,45,61
39,36,34,45,61
43,41,35,45,61
48,34,32,44,61
51,41,32,44,61
50,41,32,45,61
51,36,33,44,61
50,41,32,45,61
50,28,33,44,61
50,28,35,49,61
50,28,32,44,61
50,28,33,44,61
50,28,33,45,61
50,28,34,48,85
50,28,32,44,85
53,28,33,45,85
52,28,36,42,85
52,28,36,44,85
50,28,52,42,85
52,28,52,46,85
50,28,52,42,84
50,28,52,45,85
50,28,52,42,84
53,28,52,45,85
50,29,52,45,84
50,28,52,41,85
52,39,52,49,83
50,37,52,42,85
50,36,52,43,83
52,37,51,43,85
50,35,52,42,83
50,34,52,42,85
53,36,51,41,85
50,28,52,41,86
46,29,52,44,86
44,50,51,41,86
61,50,51,45,86
61,50,51,42,85
43,50,52,42,86
43,50,51,41,84
41,50,51,41,85
42,50,51,42,86
39,50,52,42,85
41,50,52,40,86
39,51,55,42,84
40,51,55,41,84
39,51,55,40,85
61,51,55,64,85
43,51,55,64,84
42,50,54,64,86
43,50,55,64,83
43,51,55,64,83
43,50,55,64,83
44,51,54,64,83
44,50,56,64,86
44,49,55,64,84
44,49,55,64,82
44,49,55,64,85
43,49,55,65,84
43,49,55,64,83
44,49,55,65,87
43,51,55,64,86
43,49,55,65,86
43,50,56,65,87
43,49,52,65,89
45,50,55,65,89
45,49,52,65,89
45,49,52,64,89
45,51,55,65,89
45,50,54,65,89
45,49,56,64,89
45,48,53,64,89
44,51,55,64,89
45,48,58,65,89
45,49,58,64,89
45,51,58,65,89
43,49,58,65,89
45,48,58,64,89
