8,7,25
10,12,8
12,7,10
13,9,10
7,9,20
10,8,20
10,11,7
10,11,10
10,11,10
6,13,21
11,17,10
12,17,12
12,22,12
12,15,7
11,15,12
12,6,12
12,15,8
12,7,6
7,15,6
7,7,6
7,15,8
7,10,6
7,6,7
7,6,10
7,6,9
7,9,10
7,6,10
9,9,9
10,8,7
9,18,6
10,18,7
10,9,6
27,6,6
27,6,6
8,6,7
8,8,8
8,8,10
9,8,14
9,8,14
9,10,10
6,10,12
8,9,12
6,9,10
6,9,10
6,12,26
8,12,15
8,12,15
6,12,6
19,16,6
6,15,6
19,7,6
13,7,10
13,12,6
13,18,6
6,10,13
8,18,15
12,11,15
12,11,6
13,8,11
11,8,10
7,8,10
8,10,10
8,10,9
8,9,9
8,10,10
8,9,10
12,8,10
14,7,10
12,7,11
12,6,9
10,7,9
10,6,9
7,6,9
10,7,9
7,11,12
7,11,12
12,6,6
6,6,12
6,11,12
12,13,9
6,9,9
6,6,9
9,9,9
10,6,9
10,9,13
9,9,6
10,9,6
8,6,6
11,9,13
6,9,6
11,9,8
6,7,8
6,7,6
47,7,6
9,7,6
9,7,6
9,7,6
9,8,8
9,6,10
9,12,7
